entity,n-authors,n-revs
Code/CMS/CMS/CMS.csproj,11,75
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Resources/Resources.resx,8,82
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Resources/Resources.Designer.cs,8,77
Code/CMS/CMS/Views/Layout/Controls/Header.cshtml,8,25
Code/CMS/CMS/Assets/sass/styles.scss,7,35
Code/CMS/CMS/app_build/app/shared.js,7,25
Code/CMS/CMS/Assets/sass/modules/_header.scss,6,24
Code/CMS/CMS/Views/MyAccount/AddressDetails.cshtml,6,17
Code/CMS/CMS/Assets/sass/layout/_my-stateside.scss,6,15
Code/CMS/CMS/Views/Shared/DisplayTemplates/PagingViewModel.cshtml,6,14
Code/Core/WebPOS.Core.ServiceLayer/WebPOS.Core.ServiceLayer.csproj,6,14
Code/CMS/CMS/Assets/sass/themes/_bootstrap-overrides.scss,5,31
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/WebPOS.Project.CMS.ViewModelLayer.csproj,5,22
Code/SiteBuilder/Scripts/Core/StateSide_Skates.sql,5,21
Code/CMS/CMS/Controllers/Pages/CheckoutController.cs,5,21
Code/CMS/CMS/Assets/sass/layout/_product-page.scss,5,20
Code/CMS/CMS/Views/MyAccount/MyStateside.cshtml,5,17
Code/ProjectLibraries/WebPOS.Project.ModelLayer/WebPOS.Project.ModelLayer.csproj,5,16
Code/Core/WebPOS.Core.ModelLayer/WebPOS.Core.ModelLayer.csproj,5,16
Code/CMS/CMS/Views/MyAccount/Addresses.cshtml,5,15
.gitignore,5,12
Database/CMS_Database/Scripts/Post-Deployment/Ref/CustomFields.sql,5,12
Code/CMS/CMS/Assets/sass/layout/_my-wishlist.scss,5,12
Code/ProjectLibraries/WebPOS.Project.ModelLayer/CustomFields/CustomFieldNames.cs,5,11
Code/CMS/CMS/Assets/sass/layout/_register.scss,5,10
Code/CMS/CMS/Assets/sass/layout/_my-accounts.scss,5,10
Code/CMS/CMS/Views/Ecommerce/DisplayTemplates/QuickBuyViewModel.cshtml,5,10
Code/CMS/CMS/Assets/sass/layout/_change-email.scss,5,9
Code/CMS/CMS/Assets/sass/modules/_main-menu.scss,5,9
Code/CMS/CMS/Assets/sass/layout/_my-profile.scss,5,9
Code/CMS/CMS/Assets/sass/layout/_address-book.scss,5,9
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/WebPOS.Project.CMS.ApplicationLayer.csproj,5,9
Code/Admin/Admin/Admin.csproj,5,8
Code/CMS/CMS/Assets/sass/layout/_address-details.scss,5,8
Code/CMS/CMS/Assets/sass/layout/_layout.scss,5,8
Code/CMS/CMS/Assets/sass/layout/_product-list-page.scss,4,34
Code/Core/WebPOS.Core.RepositoryLayer/CMSModel.edmx,4,26
Code/CMS/CMS/Controllers/Pages/MyAccountController.cs,4,25
Code/CMS/CMS/Views/Ecommerce/Product.cshtml,4,23
Code/CMS/CMS/Views/Ecommerce/ProductList.cshtml,4,19
Code/CMS/CMS/Controllers/Pages/EcommerceController.cs,4,18
Code/CMS/CMS/Views/MyAccount/Accounts.cshtml,4,17
